stock_code,cluster,method,tag,score,dim,value,rank_in_group,tags
600519.SH,,latent_extreme,z2_bottom,-121.3966,z2,-121.3966,1,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom|z7_top|z8_top
600519.SH,,latent_extreme,z3_top,58.862278,z3,58.862278,5,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom|z7_top|z8_top
600519.SH,,latent_extreme,z4_top,22.160038,z4,22.160038,7,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom|z7_top|z8_top
600519.SH,,latent_extreme,z5_bottom,-56.83022,z5,-56.83022,7,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom|z7_top|z8_top
600519.SH,,latent_extreme,z6_bottom,-22.959415,z6,-22.959415,4,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom|z7_top|z8_top
600519.SH,,latent_extreme,z7_top,33.532467,z7,33.532467,10,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom|z7_top|z8_top
600519.SH,,latent_extreme,z8_top,13.18797,z8,13.18797,8,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom|z7_top|z8_top
600552.SH,,latent_extreme,z2_top,1.2673914,z2,1.2673914,3,z2_top
600641.SH,,latent_extreme,z1_bottom,1.5222424,z1,1.5222424,6,z1_bottom
600661.SH,,latent_extreme,z3_bottom,0.50799215,z3,0.50799215,5,z3_bottom|z7_bottom
600661.SH,,latent_extreme,z7_bottom,0.4805355,z7,0.4805355,5,z3_bottom|z7_bottom
600753.SH,,latent_extreme,z2_top,-0.879544,z2,-0.879544,9,z2_top|z3_bottom|z7_bottom
600753.SH,,latent_extreme,z3_bottom,0.4798613,z3,0.4798613,4,z2_top|z3_bottom|z7_bottom
600753.SH,,latent_extreme,z7_bottom,-0.42614633,z7,-0.42614633,4,z2_top|z3_bottom|z7_bottom
600941.SH,,latent_extreme,z1_top,65.62086,z1,65.62086,10,cluster_1_rep|z1_top|z5_bottom|z6_bottom|z8_top
600941.SH,,latent_extreme,z5_bottom,-72.53581,z5,-72.53581,5,cluster_1_rep|z1_top|z5_bottom|z6_bottom|z8_top
600941.SH,,latent_extreme,z6_bottom,-27.128105,z6,-27.128105,3,cluster_1_rep|z1_top|z5_bottom|z6_bottom|z8_top
